sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18abmogag,13.30422,20.71471,0.0823,1237679504861233188,13.303679999999998,20.71478,0.08222634
ZTF18ablqhqx,206.7275,32.44286,0.11,1237665024376176755,206.7238,32.44384,0.1104296
ZTF18abmjvuf,230.3098,30.636640000000003,0.075,1237662225157784255,230.3065,30.63696,-99.0
ZTF18abnonwz,195.3027,39.75644000000001,0.07,1237664295293813055,195.3008,39.75562,-99.0
ZTF18abntsgz,328.652,18.11552,0.05,1237680297805021686,328.6501,18.11479,-99.0
ZTF18abmxfrc,252.7534,25.87597,0.06,1237662499476210466,252.7534,25.87636,-99.0
ZTF18abmrhom,325.0471,21.55839,0.07,1237680306393056127,325.0473,21.55844,-99.0
ZTF18abmoung,225.9381,61.56789000000001,0.06589,1237651539257065689,225.9378,61.56742,0.06583611
ZTF18abnvnqb,267.4286,54.39919,0.1,1237655747780936400,267.42900000000003,54.39918,-99.0
ZTF18abkhdxe,277.8432,63.7415,0.105,1237671939271491947,277.842,63.7415,-99.0
ZTF18aasprui,243.6407,36.9434,0.03796,1237665357231357992,243.6402,36.94379,0.03796067
ZTF18ablqqqp,253.1301,23.38353,0.1,1237662337872102360,253.1296,23.38376,-99.0
ZTF18abnxhmc,329.7575,11.10369,0.08,1237656494026916424,329.7584,11.10126,0.07641185
ZTF18abmxahs,257.5465,21.64904,0.0148,1237659152614359239,257.5461,21.64959,0.01478627
ZTF18abobkii,243.6958,43.30529,0.0597,1237665357234110752,243.6957,43.30527,0.05974455
ZTF18aboaeqy,242.6767,42.59406,0.115,1237659325490528445,242.6763,42.59404,-99.0
ZTF18abncimo,336.9034,22.89531,0.05684,1237666245757632653,336.9036,22.89524,-99.0
ZTF18abnygkb,328.5,8.114686,0.07,1237678846647206564,328.5001,8.115031,-99.0
ZTF18abpamut,234.5126,51.36036,0.07400000000000001,1237655464854880435,234.5135,51.36017,-99.0
ZTF18abddmrf,226.9673,38.04847,0.17,1237661433248547458,226.9678,38.049,-99.0
ZTF18abmjvpb,239.5487,19.76521,0.066077,1237665535467716871,239.5551,19.76671,0.06599487
ZTF18aboztta,246.4449,20.42581,0.106,1237662223554904989,246.4447,20.42598,-99.0
ZTF18abpmmpo,251.9775,42.96878,0.08,1237651714800288225,251.9771,42.9684,-99.0
ZTF18aboztku,243.4232,10.65852,0.0802,1237668271916122599,243.4232,10.65862,0.08016846
ZTF18abmwpyl,354.362,21.90345,0.13,1237680297815703935,354.3621,21.9064,-99.0
ZTF18abpttky,258.5604,36.45897,0.084,1237654954819388078,258.5604,36.45889,-99.0
ZTF18abrlupd,245.6206,51.64223,0.055,1237665569292157075,245.6214,51.64196,-99.0
ZTF18abrqedj,103.0894,27.4708,0.036745,1237673738322641929,103.0892,27.47085,-99.0
ZTF18abqjurg,227.0176,37.25153,0.0793,1237661873491411157,227.0188,37.25167,0.07931267
ZTF18abqbavl,255.874,41.64532,0.14,1237665570371207779,255.8728,41.64482,-99.0
ZTF18abqlpgq,340.1028,16.19079,0.095268,1237666183489192310,340.101,16.189239999999998,0.09526871
ZTF18abryqnn,355.1913,14.100370000000002,0.063,1237656241170022674,355.1915,14.10028,-99.0
ZTF18abosrco,352.4718,27.377990000000004,0.023823,1237680277404451103,352.4724,27.37962000000001,-99.0
ZTF18abptsco,261.7142,34.24662,0.12,1237665582724875148,261.7142,34.24663,-99.0
ZTF18abmwnov,3.757664,34.81145,0.04777,1237659936437370911,3.758472,34.80834,-99.0
ZTF18abrwudp,217.5265,58.7868,0.13,1237655370368942295,217.525,58.78693000000001,-99.0
ZTF18abqjvyl,225.2652,44.15654,0.0877,1237662301364879759,225.2655,44.15656,-99.0
ZTF18aawjywv,268.7502,42.89834000000001,0.04,1237668726628221100,268.7506,42.89907,-99.0
ZTF18aaxsioa,252.4129,45.49228,0.03,1237665569832370493,252.4138,45.49274000000001,-99.0
ZTF18abolvoh,343.5488,5.064042,0.049,1237678777934086272,343.5477,5.0637919999999985,-99.0
ZTF18abfhaji,263.8093,54.24688,0.09,1237656529458299158,263.8103,54.24637,-99.0
ZTF18absbsoz,346.9652,23.20407,0.081,1237666183493386508,346.9631,23.20302,-99.0
ZTF18aaxkjmm,236.3713,35.85523,0.0661,1237662473154199933,236.3712,35.85527000000001,-99.0
ZTF18ablvime,1.755282,33.18287,0.14,1237680479267652282,1.7553450000000002,33.182990000000004,-99.0
ZTF18abrzbyt,117.2806,32.98062,0.02766,1237674289144529239,117.2779,32.97885,0.02689051
ZTF18abrytwr,46.61169,41.21383,0.06,1237661081587745346,46.61167,41.21386,-99.0
ZTF18abrzrnb,222.2358,52.59344,0.12,1237661388680921426,222.2363,52.5929,-99.0
ZTF18abotcjv,26.03449,7.977053,0.062,1237667229830414632,26.03481,7.976871000000001,-99.0
ZTF18abssukb,227.2636,31.94108,0.11,1237662225156473048,227.2624,31.94009,0.11025560000000001
ZTF18abtfrbf,7.602641,-1.264157,0.0569,1237678882097660056,7.6023710000000015,-1.262365,0.05702774
ZTF18absdjms,271.2031,24.95402,0.08,1237666211929653869,271.2026,24.95408,-99.0
ZTF18abshtdj,23.67311,-5.634792,0.062556,1237679253056127079,23.6743,-5.631642,-99.0
ZTF18abshmro,36.6971,-9.06731,0.0543,1237673700741808178,36.69735,-9.066974,0.05430928
ZTF18absqhza,24.04691,27.27481,0.06,1237679564986056780,24.04512,27.27765,-99.0
ZTF18abssuxz,244.4516,41.46955,0.0649,1237659330314109024,244.4506,41.47038,0.06491995
ZTF18absgnio,351.2358,9.4313,0.06,1237678906241908887,351.2358,9.431281,-99.0
ZTF18absyyig,338.2876,4.1297510000000015,0.041,1237678824640020719,338.2876,4.129522,-99.0
ZTF18abtmbaz,31.41899,19.09217,0.069,1237679540827848918,31.41915,19.09208,-99.0
ZTF18abtfvsk,18.82545,-6.85907,0.02,1237680243069223051,18.82417,-6.858494,-99.0
ZTF18abtogdl,267.7971,53.31446999999999,0.105,1237655747781395043,267.797,53.31446,-99.0
ZTF18absstyb,238.0925,22.93234,0.052729999999999985,1237665128564720069,238.0915,22.9322,0.0527325
ZTF18abupgql,19.0154,-0.1174502,0.046,1237666339190014082,19.0138,-0.1146431,0.04616641
ZTF18abtrvkm,41.49721,42.5415,0.038643,1237661119701057801,41.49891,42.5423,-99.0
ZTF18abuhyjv,39.06522,-1.199655,0.0471,1237660024520835206,39.06508,-1.200052,0.04711996
ZTF18abuhzfc,16.16165,-4.258173,0.0383,1237679255200334055,16.16169,-4.258133,-99.0
ZTF18abvejbm,14.26092,-0.8738551999999999,0.044160000000000005,1237666338114240519,14.25854,-0.8751883,0.04416009
ZTF18abvbayb,262.8015,79.0543,0.13,1237663269869519115,262.7966,79.05325,-99.0
ZTF18abqapch,7.043359,37.26034,0.08800000000000001,1237659931070169987,7.043642,37.25989000000001,-99.0
ZTF18abujbio,119.408,44.74683,0.07200000000000001,1237651495757480209,119.409,44.74676,-99.0
ZTF18abuiknd,29.35918,8.917311999999997,0.104,1237678833226874995,29.36162,8.916607,-99.0
ZTF18abuxjrd,25.01803,15.07098,0.0713,1237649921117454553,25.01797,15.07104,0.07132095
ZTF18aaxzhzf,186.1607,16.46124,0.11,1237668623012921691,186.1607,16.46128,-99.0
ZTF18abtxvhy,344.8033,0.4049884,0.07200000000000001,1237663444906279277,344.8033,0.4053203,-99.0
ZTF18abvxqtp,359.3701,-6.603816,0.073,1237680243597639772,359.3676,-6.6050710000000015,-99.0
ZTF18abwkzuc,108.9102,37.57409000000001,0.065,1237663655341523438,108.9089,37.57458,-99.0
ZTF18abwclem,130.687,10.69515,0.06,1237671261734371792,130.6871,10.69457,-99.0
ZTF18abufwxs,353.5387,22.09264,0.0712,1237679477467709915,353.539,22.09259,-99.0
ZTF18abwckzf,126.8255,10.99924,0.087,1237667781199397157,126.8251,10.99966,-99.0
ZTF18abwlonm,129.5964,19.47044,0.0702,1237667107964977491,129.5963,19.46989,0.07018422
ZTF18abwkgvf,27.0202,-6.795922,0.11,1237679439347909225,27.01977,-6.796236,-99.0
ZTF18abxxssh,268.3956,43.21611,0.07,1237668679920583719,268.3977,43.21452,-99.0
ZTF18abwxhjo,358.6284,-4.785466,0.08,1237679323382349976,358.6277,-4.786135,-99.0
ZTF18abxroxl,24.58952,3.489804,0.06,1237680097553285278,24.58883,3.490184,-99.0
ZTF18abxbugc,157.0562,79.34035,0.036000000000000004,1237671071690785011,157.0507,79.34019,-99.0
ZTF18abxyudf,330.3567,10.6486,0.11,1237678859532632394,330.3558,10.64965,-99.0
ZTF18abxbwwf,251.5365,19.45478,0.0599695,1237662663759364441,251.5366,19.45448,0.0599695
ZTF18abwwuug,356.3429,13.06093,0.065,1237678860080644267,356.346,13.05999,-99.0
ZTF18abwmuua,249.6433,31.87302,0.06423999999999999,1237659154219532469,249.6434,31.87298,0.06424318
ZTF18abyzksx,334.2042,8.545278999999999,0.1,1237679009314439884,334.2037,8.545174000000001,-99.0
ZTF18abwwfyo,321.6966,-4.79277,0.1,1237680189358277375,321.6967,-4.793482,-99.0
ZTF18abzpbpi,135.1315,36.46187000000001,0.0893,1237658203421147337,135.1311,36.46106,0.08929988
ZTF18abvbpku,328.404,7.2350850000000015,0.12,1237678845573399305,328.4038,7.234623,-99.0
ZTF18abyzlhn,338.2053,-1.852668,0.055699,1237678881011073203,338.2067,-1.851082,-99.0
ZTF18abyxwrf,43.90014,43.05759000000001,0.020908000000000003,1237661121312260236,43.90073,43.05803,-99.0
ZTF18abwohjb,345.30400000000014,5.132743,0.15,1237679006094131851,345.3039,5.132586,-99.0
ZTF18abuqugw,244.5577,39.12382,0.03104,1237659163349876967,244.5575,39.12365,0.03104095
ZTF18abzwdsj,343.1625,10.61821,0.077,1237678857927524470,343.162,10.61744,-99.0
ZTF18abzsflf,353.7323,22.02585,0.095,1237679477467775186,353.7319,22.02629,-99.0
ZTF18acatfls,353.7586,7.376517999999999,0.036000000000000004,1237669517976010948,353.756,7.375039,-99.0
ZTF18acbufud,28.79157,2.484681,0.084,1237678619041005723,28.79033,2.484474,0.08420382
ZTF18acbudzo,15.65996,-6.392695,0.044,1237680243604717653,15.65086,-6.3926050000000005,-99.0
ZTF18acbujhw,39.61605,29.75901,0.016944999999999998,1237670961625759793,39.61434000000001,29.75801,-99.0
ZTF18acatuts,336.4974,3.458288,0.04,1237678776320327781,336.4959,3.460011,-99.0
ZTF18acbudzh,9.833625,-10.47898,0.037000000000000005,1237652946919292996,9.833871,-10.48208,0.03634158
ZTF18acbwlpj,269.1813,41.77808,0.05,1237659897791447229,269.1789,41.77676,-99.0
ZTF18acbwawc,170.9729,58.14286,0.04,1237655106764144668,170.9713,58.1448,-99.0
ZTF18acbznkf,166.6342,58.07901,0.11,1237658302743576763,166.6342,58.07903,-99.0
ZTF18acbwaax,149.675,44.51189,0.073,1237658205037724252,149.6751,44.5119,-99.0
ZTF18aaqkjuw,174.7937,56.13626,0.0966,1237657610728046674,174.7937,56.13629,0.09656397
ZTF18acbzojv,155.6175,36.59962,0.02614,1237664668972286077,155.6251,36.5993,-99.0
ZTF18acbwarv,161.8968,41.7149,0.06,1237661849851330651,161.8959,41.71435,0.06453508
ZTF18accbppp,354.3002,16.0343,0.0649,1237679454922670259,354.298,16.03279,-99.0
ZTF18acbzpag,179.7058,35.13384,0.07,1237665025440088173,179.7081,35.13364,-99.0
ZTF18acbwghc,169.4848,27.591040000000003,0.08,1237667324324741314,169.4856,27.591390000000004,-99.0
ZTF18accjecm,14.88327,12.75163,0.056,1237678920211038300,14.8833,12.75171,-99.0
ZTF18acbwtnh,319.6434,2.422687,0.09,1237678598072829111,319.6432,2.42258,-99.0
ZTF18acbvgqw,46.5121,-15.611579999999998,0.008673,1237667245407862793,46.51249,-15.61115,-99.0
ZTF18acbxmvy,354.254,21.431520000000006,0.05,1237680297278767936,354.2541,21.43136,-99.0
ZTF18acbxsap,7.237558,-3.643225,0.08,1237679433447899203,7.239019,-3.643687,-99.0
ZTF18accrorf,17.162979999999994,20.0799,0.04,1237666091664539686,17.16197,20.07927,-99.0
ZTF18acbzpxx,128.1834,31.18347,0.0883,1237660635984101659,128.1836,31.18311,0.08834532
ZTF18acbwasl,156.8749,37.8744,0.1,1237661136887218298,156.8749,37.87489,-99.0
ZTF18acbxkpa,355.7259,-5.3042,0.075,1237680117421047928,355.728,-5.299487999999998,-99.0
ZTF18acbyyff,29.48306,-16.335820000000002,0.076,1237673699663609975,29.48352,-16.335820000000002,-99.0
ZTF18aaemivw,158.4279,39.49079,0.0654,1237661383314047047,158.428,39.49078,0.06806319
ZTF18acaqbvs,275.1383,41.96808,0.031,1237668679922811429,275.1393,41.9687,-99.0
ZTF18acbwppb,315.6236,-6.649838000000001,0.04,1237652599562699725,315.6236,-6.649744,-99.0
ZTF18abzbkby,32.90943,14.202329999999998,0.0259,1237670960007807236,32.90935,14.20326,0.02588561
ZTF18acckoil,37.98089,3.126043,0.029,1237678620118810811,37.98036,3.125596,-99.0
ZTF18acchvwh,2.19826,-3.365597,0.07,1237678434325364809,2.197678,-3.3658940000000004,-99.0
ZTF18accnnyu,142.6243,16.34365,0.02891,1237667781743345735,142.6243,16.34339,0.02890779
ZTF18acchzkf,14.09007,-2.50375,0.06,1237678880489930895,14.090129999999998,-2.503284,-99.0
ZTF18aceynvm,153.8757,37.98335,0.06,1237661137960042638,153.8745,37.98409,0.05396527
ZTF18acbwxgn,337.1796,8.103731,0.07,1237678905698877715,337.1788,8.10449,-99.0
ZTF18acbxsgy,9.098978,-9.341669,0.1,1237652948529578446,9.099419,-9.341227,-99.0
ZTF18accwjiu,156.6289,15.34085,0.03282,1237671261208772631,156.6319,15.34001,0.03281885
ZTF18acefgoc,123.9317,58.31484,0.027000000000000003,1237663789031948359,123.9368,58.32099,0.02705388
ZTF18accqcab,347.6011,10.73723,0.065,1237679036696887520,347.601,10.73783,-99.0
ZTF18aceyjco,185.0442,52.63168,0.09,1237657629529211046,185.0432,52.632,-99.0
ZTF18acemhyb,119.1423,30.17662,0.054000000000000006,1237657401336397899,119.1425,30.1757,0.05162032
ZTF18acdwazf,186.8193,35.80063,0.033319999999999995,1237665025979449592,186.821,35.80085,0.03320153
ZTF18acbxsge,9.8009,-5.200694,0.025,1237679322850328674,9.80125,-5.200503,-99.0
ZTF18achbymb,120.2214,21.7665,0.111,1237660956495118631,120.2209,21.76579,0.1113673
ZTF18acdzzyf,31.79528,-9.024626,0.0405,1237670956254560305,31.7935,-9.025253,0.04049838
ZTF18acejgrz,26.5368,33.795190000000005,0.116,1237678808532844936,26.5369,33.79525,-99.0
ZTF18achmxsx,27.98227,14.85157,0.084,1237649921118699667,27.98137,14.85283,0.08404417
ZTF18acefxko,129.1901,13.47044,0.06,1237667731271254543,129.1898,13.47088,-99.0
ZTF18acajkff,8.630172,10.53621,0.05,1237678907323121808,8.629952000000001,10.53943,-99.0
ZTF18acbzvqj,173.0908,35.55690999999999,0.03831,1237665026511470698,173.0919,35.55716,0.03830707
ZTF18aceathd,33.92406,-1.119768,0.0599,1237663782601621636,33.924440000000004,-1.120506,0.05992377
ZTF18acnbgrb,202.9837,44.13936,0.0335,1237661873482891502,202.9835,44.1405,0.03353007
ZTF18acnbeuu,142.4223,49.21245,0.102,1237657633799012580,142.4194,49.21235,0.10218630000000001
ZTF18acfwmqj,35.44359,31.71402,0.053,1237678894431601084,35.44385,31.71426,-99.0
ZTF18acqqyah,171.8384,59.63007,0.01706,1237658303818629175,171.83,59.62666,0.01706143
ZTF18aceexmi,115.8674,15.55289,0.1,1237664875113021529,115.8679,15.55285,-99.0
ZTF18acmwptq,11.36581,5.008369,0.08,1237678433793933434,11.36446,5.009443,-99.0
ZTF18acnbenl,169.9993,61.98193000000001,0.065,1237655370358784083,169.9999,61.98426,-99.0
ZTF18accnlji,140.3006,33.72283,0.09,1237661383844102410,140.3006,33.72278,-99.0
ZTF18acpeesd,181.8469,9.08422,0.09,1237671128056594641,181.8468,9.083941,-99.0
ZTF18acqxsyi,144.8692,26.93243,0.0636,1237667113871671407,144.869,26.93264000000001,0.0635812
ZTF18abqdadp,241.7625,15.59574,0.03955,1237665567692357886,241.7633,15.5931,0.039545300000000005
ZTF18abnvoel,260.814,77.84489,0.06,1237663229605314606,260.8123,77.84402,-99.0
ZTF18acpeemg,182.2842,14.85956,0.079,1237664290464137597,182.2841,14.85975,0.07904774
ZTF18acqpqph,204.8337,34.68882,0.023118,1237664671645630508,204.8338,34.68805,0.02316421
ZTF18acpscso,31.99076,-6.093389,0.065,1237679439886942327,31.99286,-6.092434,-99.0
ZTF18acmyxfx,67.57840999999999,-5.703111,0.06,1237649927026901440,67.5784,-5.702953,-99.0
ZTF18acrdlrp,157.4682,20.66936,0.019180000000000003,1237667783360380998,157.4678,20.669320000000006,0.01917908
ZTF18acrgydk,159.9545,47.60093,0.07247999999999999,1237658205041131666,159.9545,47.60092,0.07247815
ZTF18acrdmmw,171.8636,33.6173,0.05,1237665127465418838,171.8651,33.61525,0.04979017
ZTF18acpuxuh,63.47925,-6.2767230000000005,0.099,1237649961387229448,63.47953,-6.276584,-99.0
ZTF18aagrtxs,198.6061,50.97767,0.02791,1237661957757010031,198.6087,50.97918,0.02970885
ZTF18achjcwv,354.2325,2.970075,0.06,1237678619562803299,354.235,2.9686630000000003,-99.0
ZTF18acsxpmp,10.17891,30.046090000000003,0.076,1237680332717752860,10.17951,30.04517,-99.0
ZTF18acuefvt,150.6447,25.02801,0.07557,1237667253465514140,150.6452,25.02943,0.07557197
ZTF18achaqmd,353.3374,4.809605,0.017,1237678777401475378,353.3367,4.8108580000000005,-99.0
ZTF18acrxppd,156.5142,64.83667,0.03781,1237651272969158706,156.5145,64.83618,0.03678637
ZTF18abtgkdo,40.71513,21.51185,0.087,1237678585191989420,40.71511,21.51122,-99.0
ZTF18acsovsw,141.1573,25.39514,0.0328,1237667143404486939,141.159,25.39803,0.03279604
ZTF18acsyanq,20.96219,10.85901,0.06,1237678918066176202,20.96204,10.85908,-99.0
ZTF18acrxpxd,167.4202,59.40305,0.09,1237655108910973176,167.4205,59.40286999999999,-99.0
ZTF18acsoyiu,167.9312,40.81561,0.08,1237661966887616697,167.9317,40.82076,0.07814884
ZTF18acusueb,230.3702,15.13905,0.02242,1237667733990998053,230.3708,15.13759,0.02242037
ZTF18acxyarg,120.11,42.82145,0.04205,1237673310967562424,120.1104,42.8213,0.04083189
ZTF18acvwcig,212.7597,54.53043,0.102082,1237661387604557997,212.7622,54.53166,0.1018985
ZTF18acwyowc,206.9528,35.05879,0.076,1237662684142436383,206.9506,35.05774,0.07461534
ZTF18acybdar,176.0834,34.51473,0.0713,1237665024901841151,176.0834,34.51471,-99.0
ZTF18aczeesl,220.3872,48.20401,0.018000000000000002,1237659131136311811,220.3869,48.20411,-99.0
ZTF18aazblzy,242.8394,36.99428,0.06,1237659153679385362,242.8398,36.99208,-99.0
ZTF18aczenvx,163.7305,27.80243,0.1181,1237667253470756986,163.7302,27.80237,0.1181049
ZTF18abkhcrj,256.6514,24.54532,0.03823,1237661386013278608,256.6514,24.54539,0.038230300000000016
ZTF18abkudjo,227.0606,34.86824,0.09216,1237662307267772555,227.0613,34.86906,0.0921574
ZTF18adazbol,135.6518,11.486,0.105,1237671261199663263,135.6519,11.486,-99.0
ZTF18adazeua,150.5327,19.13989,0.09,1237667735568449847,150.5334,19.13996,0.09036711
ZTF18aczemzj,219.3894,8.078876,0.05,1237662237481304259,219.3873,8.078611,0.04988518
ZTF18acehilk,347.06699999999995,22.71218,0.036000000000000004,1237672764441231508,347.0666,22.71252,-99.0
ZTF18acdvvej,171.6676,22.28424,0.03,1237667735577231437,171.6671,22.28402,-99.0
ZTF18adbyxua,177.7421,10.3932,0.107,1237658493352149326,177.7421,10.39302,-99.0
